,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"[""What is the image that you're attempting to draw?"", 'A golfer swings to hit a ball over a sand trap and onto the green.']",9.351944327354431,9.314,4.857980995127571,0.0,9.0,0.027206551,0.0
1,"['What does the image look like from above?', 'An airline pilot maneuvers a plane toward a narrow runway.']",7.6028889417648315,7.926,4.459431618637297,0.0,7.0,0.015330595,0.0
2,"['What type of image do you want to draw?', 'A dress designer creates the latest fashion.']",9.308165907859802,8.028,4.321928094887362,0.0,8.0,0.02072494,0.0
3,"['What is your most important idea in this paragraph?', 'Sometimes we need to measure angles exactly with instruments.']",9.753828644752502,6.234,4.459431618637297,0.0,8.0,0.02402467,0.0
4,"['How often do you need to measure angles?', 'Other times we estimate them or judge them by eye.']",9.02327835559845,8.772,4.459431618637297,0.0,7.0,0.022256956,0.0
5,"['What else do we need to know about angle?', 'Either way, the proper angle can make the difference between success and failure in many undertakings.']",9.008038640022278,6.725,4.906890595608518,0.0,8.0,0.017969469,0.0
6,"['What is your next article?', 'In this section, we will examine properties of angles.']",9.826045632362366,6.437,4.247927513443585,0.0,4.0,0.021196328,0.0
7,"[""What's the most important thing we need to know about this chapter?"", 'Properly defining an angle first requires that we define a ray.']",9.616138339042664,7.672,4.807354922057605,0.0,12.0,0.017843807,0.5
8,"['What is a ray?', 'A ray is a directed line segment.']",9.725088477134705,9.126999999999999,3.773557262275186,0.0,3.0,0.015833238,1.0
9,"['How does it work?', 'It consists of one point on a line and all points extending in one direction from that point.']",9.26598072052002,9.415000000000001,4.7004397181410935,0.0,3.0,0.011058134,0.0
10,"['What are these points called?', 'The first point is called the endpoint of the ray.']",9.541122317314148,10.0,4.247927513443585,0.0,4.0,0.011435116,0.0
11,"['How else can we identify a ray?', 'We can refer to a specific ray by stating its endpoint and any other point on it.']",8.833788633346558,8.468,4.807354922057605,0.0,6.0,0.014073989,0.0
12,"['How else can we cite it?', 'The ray in Figure 1 can be named as ray EF, or in symbol form $$\\(\\overset{\\longrightarrow}{EF}.\\)$$']",9.205533266067505,8.568999999999999,5.271928094887364,0.0,5.0,0.011874928,0.0
13,"['What is an angle?', 'An angle is the union of two rays having a common endpoint.']",9.228291511535645,8.873999999999999,4.321928094887362,0.0,3.0,0.013822667,1.0
14,"['What are the two rays?', 'The endpoint is called the vertex of the angle, and the two rays are the sides of the angle.']",8.720842599868774,9.314,4.513153408920676,0.0,4.0,0.019100413,1.0
15,"['What are the rays called?', 'The angle in Figure 2 is formed from $$\\(\\overset{\\longrightarrow}{ED}\\)$$ and $$\\(\\overset{\\longrightarrow}{EF}\\)$$.']",8.805768489837646,6.336,5.001629167387824,0.0,4.0,0.0201057,0.0
16,"['Can you give me the names of the two rays?', 'Angles can be named using a point on each ray and the vertex, such as angle DEF, or in symbol form $$\\(\\angle DEF.\\)$$']",9.343120455741882,8.857,5.4474086518852305,0.0,9.0,0.026145924,0.5
17,"['What is the Greek letter?', 'Greek letters are often used as variables for the measure of an angle.']",9.411190748214722,8.772,4.459431618637297,0.0,4.0,0.018849092,1.0
18,"['What is the sample angle?', 'Table 1 is a list of Greek letters commonly used to represent angles, and a sample angle is shown in Figure 3.']",9.256432056427002,7.468999999999999,4.937499999999999,0.0,4.0,0.008859074,1.0
19,"['Is angle creation a one way process?', 'Angle creation is a dynamic process.']",9.715171456336975,7.3340000000000005,4.08746284125034,0.0,6.0,0.013508516,1.0
20,"['What does it start with?', 'We start with two rays lying on top of one another.']",9.112170934677124,9.72,4.221928094887361,0.0,4.0,0.013508516,0.5
21,"['Are they symmetric?', 'We leave one fixed in place, and rotate the other.']",9.35304343700409,9.026,4.169925001442313,0.0,2.0,0.036634352,0.0
22,"['What do these mean?', 'The fixed ray is the initial side, and the rotated ray is the terminal side.']",9.01273488998413,8.721,4.418295834054491,0.0,3.0,0.014513801,0.0
23,"['What do we add to the image?', 'In order to identify the different sides, we indicate the rotation with a small arrow close to the vertex as in Figure 4.']",9.489914178848267,7.317,5.072140159802109,0.0,6.0,0.014827953,0.0
24,"['What was your purpose for this section?', 'As we discussed at the beginning of the section, there are many applications for angles, but in order to use them correctly, we must be able to measure them.']",8.744751214981079,7.013,5.426264754702098,0.0,6.0,0.05304765,0.5
25,"['What is the measure of an angle?', 'The measure of an angle is the amount of rotation from the initial side to the terminal side.']",9.149931073188782,7.571,4.582118926162055,0.0,6.0,0.0137598375,0.5
26,"['How are angles measured?', 'Probably the most familiar unit of angle measurement is the degree.']",9.671380519866943,5.54,4.247927513443585,0.0,3.0,0.011183795,1.0
27,"['How do degrees relate to 360 degrees?', 'One degree is $$\\(\\frac{1}{360}\\)$$ of a circular rotation, so a complete circular rotation contains $$\\(360\\)$$ degrees.']",8.926600217819214,5.134,5.288179231870311,0.0,6.0,0.009550206,0.0
28,"['What do degrees mean?', 'An angle measured in degrees should always include the unit “degrees” after the number, or include the degree symbol $$\\({^\\circ}.\\)$$']",9.253425598144531,6.776000000000001,5.221928094887363,0.0,3.0,0.011183795,0.0
29,"['What other terms are used for degrees?', 'For example, $$\\(90\\mspace{14mu}\\text{degrees} = 90{^\\circ}.\\)$$']",7.254269123077393,5.743,5.0286393118385755,0.0,6.0,0.011183795,0.0
30,"['What would we be learning today?', 'To formalize our work, we will begin by drawing angles on an x-y coordinate plane.']",8.94014298915863,6.928,4.7004397181410935,0.0,5.0,0.015330595,0.0
31,"['What is the standard position?', 'Angles can occur in any position on the coordinate plane, but for the purpose of comparison, the convention is to illustrate them in the same position whenever possible.']",8.86376440525055,4.627000000000001,5.285402218862246,0.0,4.0,0.01017851,0.0
32,"['How do we know if an angle is in standard position?', 'An angle is in standard position if its vertex is located at the origin, and its initial side extends along the positive x-axis.']",9.062765836715698,6.268,5.0802740137340425,0.0,10.0,0.011246625,0.5
33,"['What are some examples?', 'See Figure 5.']",9.886720180511475,8.484,3.4594316186372978,0.0,3.0,0.0074139764,0.5
34,"['What is a positive angle?', 'If the angle is measured in a counterclockwise direction from the initial side to the terminal side, the angle is said to be a positive angle.']",9.002857208251953,6.42,4.94770277922009,0.0,4.0,0.010681152,0.5
35,"['What is a negative angle?', 'If the angle is measured in a clockwise direction, the angle is said to be a negative angle.']",9.260761141777039,6.8260000000000005,4.521640636343318,0.0,4.0,0.017969469,1.0
36,"['What are some key points?', 'Drawing an angle in standard position always starts the same way—draw the initial side along the positive x-axis.']",8.452213406562805,6.8260000000000005,4.754887502163469,0.0,4.0,0.009047564,0.0
37,"['What else?', 'To place the terminal side of the angle, we must calculate the fraction of a full rotation the angle represents.']",8.253414630889893,5.761,4.680813428089395,0.0,1.0,0.011372286,0.0
38,"['How do you determine the fraction of a full rotation?', 'We do that by dividing the angle measure in degrees by $$\\(360{^\\circ}.\\)$$']",8.975821733474731,6.877,5.114369445886758,0.0,9.0,0.011937759,0.5
