,tuple,relevance,flesch_reading_ease,bigram_entropy,is_general,distinct_3,toxicity,Q_A_eval
0,"['What does a golfer do with a golf club?', 'A golfer swings to hit a ball over a sand trap and onto the green.']",9.23851490020752,10.0,4.807354922057605,0.0,8.0,0.019100413,0.0
1,"['What kind of pilot maneuvers a plane toward a narrow runway?', 'An airline pilot maneuvers a plane toward a narrow runway.']",8.997025489807129,6.082,4.083856189774724,0.0,10.0,0.009424546,0.0
2,"['What does a dress designer do?', 'A dress designer creates the latest fashion.']",9.050439596176147,7.3340000000000005,3.96981578242681,0.0,5.0,0.018974753,1.0
3,"['What kind of measurement do we need to make?', 'Sometimes we need to measure angles exactly with instruments.']",9.510141015052795,7.08,4.277613436819116,0.0,8.0,0.01017851,0.0
4,"['What else do we do with numbers?', 'Other times we estimate them or judge them by eye.']",9.408293962478638,9.669,4.392317422778759,0.0,6.0,0.01005285,0.0
5,"['What is the proper angle for a project?', 'Either way, the proper angle can make the difference between success and failure in many undertakings.']",9.039702415466309,6.776000000000001,4.720049960644813,0.0,7.0,0.008733413,1.0
6,"['What is in this section?', 'In this section, we will examine properties of angles.']",9.666311144828796,7.2829999999999995,4.142664355548849,0.0,4.0,0.023906821,0.5
7,"['What can I say that will help us?', 'Properly defining an angle first requires that we define a ray.']",9.18034315109253,8.721,4.523561956057013,0.0,7.0,0.013885498,0.0
8,"['What is a directed line segment?', 'A ray is a directed line segment.']",9.567545056343079,7.3340000000000005,3.616874605956222,0.0,5.0,0.010806813,1.0
9,"['What is a line segment?', 'It consists of one point on a line and all points extending in one direction from that point.']",9.483584761619568,8.518,4.680813428089395,0.0,4.0,0.010806813,0.0
10,"['What is the first point of a ray?', 'The first point is called the endpoint of the ray.']",9.649003148078918,10.0,4.368522527728206,0.0,7.0,0.014450971,0.5
11,"['What is another way we can refer to a specific ray?', 'We can refer to a specific ray by stating its endpoint and any other point on it.']",9.329681396484375,7.419,4.687499999999999,0.0,10.0,0.01438814,0.0
12,"['What is the name of the ray in Figure 1?', 'The ray in Figure 1 can be named as ray EF, or in symbol form $$\\(\\overset{\\longrightarrow}{EF}.\\)$$']",9.075422286987305,8.366,5.277613436819116,0.0,9.0,0.011749268,1.0
13,"['What is the definition of an angle?', 'An angle is the union of two rays having a common endpoint.']",9.336289763450623,7.875,4.436605434317882,0.0,6.0,0.011874928,1.0
14,"['How does the common endpoint relate to two rays?', 'The endpoint is called the vertex of the angle, and the two rays are the sides of the angle.']",9.314267635345459,8.265,4.862575937540272,0.0,8.0,0.010304171,1.0
15,"['What is the definition of angle def.?', 'The angle in Figure 2 is formed from $$\\(\\overset{\\longrightarrow}{ED}\\)$$ and $$\\(\\overset{\\longrightarrow}{EF}\\)$$.']",8.937857747077942,4.542,5.123405734128357,0.0,7.0,0.013634177,0.0
16,"['What symbol is used to represent an angle?', 'Angles can be named using a point on each ray and the vertex, such as angle DEF, or in symbol form $$\\(\\angle DEF.\\)$$']",9.227466583251953,8.112,5.379753126795121,0.0,7.0,0.010806813,1.0
17,"['What else was significant?', 'Greek letters are often used as variables for the measure of an angle.']",8.846063017845154,7.131,4.392317422778759,0.0,3.0,0.014136819,1.0
18,"['What is the sample angle?', 'Table 1 is a list of Greek letters commonly used to represent angles, and a sample angle is shown in Figure 3.']",9.256432056427002,7.468999999999999,4.937499999999999,0.0,4.0,0.008859074,1.0
19,"['What is the process of creating an angle?', 'Angle creation is a dynamic process.']",9.584988355636597,7.2829999999999995,4.169925001442313,0.0,7.0,0.015519086,1.0
20,"['What do we start with when creating an angle?', 'We start with two rays lying on top of one another.']",9.489301443099976,8.671,4.501629167387825,0.0,8.0,0.015896067,0.5
21,"['What happens after we put the two objects together?', 'We leave one fixed in place, and rotate the other.']",9.83471930027008,7.875,4.584962500721156,0.0,8.0,0.032391842,0.5
22,"['What is the difference between the fixed ray and the rotated ray?', 'The fixed ray is the initial side, and the rotated ray is the terminal side.']",9.520732760429382,7.468999999999999,4.538909765557391,0.0,11.0,0.016712861,0.5
23,"['What happens after the rotation?', 'In order to identify the different sides, we indicate the rotation with a small arrow close to the vertex as in Figure 4.']",9.580705761909485,5.727,4.983788058752394,0.0,4.0,0.013257195,0.0
24,"['What are the many applications for angles?', 'As we discussed at the beginning of the section, there are many applications for angles, but in order to use them correctly, we must be able to measure them.']",9.03257966041565,7.013,5.286729870981167,0.0,6.0,0.011372286,0.5
25,"['How do you measure an angle?', 'The measure of an angle is the amount of rotation from the initial side to the terminal side.']",8.513762354850769,7.622,4.735926350629033,0.0,5.0,0.02072494,0.0
26,"['What is the most commonly used unit of angle measurement?', 'Probably the most familiar unit of angle measurement is the degree.']",9.896814823150635,6.082,4.243856189774724,0.0,9.0,0.010806813,1.0
27,"['How many degrees are in 360 degrees?', 'One degree is $$\\(\\frac{1}{360}\\)$$ of a circular rotation, so a complete circular rotation contains $$\\(360\\)$$ degrees.']",8.196064233779907,5.9799999999999995,5.288179231870311,0.0,6.0,0.01218908,0.0
28,"['What should we do when we are measuring an angle in degrees?', 'An angle measured in degrees should always include the unit “degrees” after the number, or include the degree symbol $$\\({^\\circ}.\\)$$']",9.454566836357117,6.37,5.459962500721157,0.0,11.0,0.011497946,1.0
29,"['What is the difference between degrees and radians?', 'For example, $$\\(90\\mspace{14mu}\\text{degrees} = 90{^\\circ}.\\)$$']",7.113407254219055,3.1550000000000002,5.072140159802109,0.0,7.0,0.014953613,1.0
30,"['What is the next step you will take?', 'To formalize our work, we will begin by drawing angles on an x-y coordinate plane.']",9.339331984519958,8.518,4.807354922057605,0.0,7.0,0.039935954,0.5
31,"['What else should we know?', 'Angles can occur in any position on the coordinate plane, but for the purpose of comparison, the convention is to illustrate them in the same position whenever possible.']",9.170520901679993,5.473,5.285402218862246,0.0,4.0,0.013508516,0.0
32,"['What is standard position?', 'An angle is in standard position if its vertex is located at the origin, and its initial side extends along the positive x-axis.']",8.704079985618591,5.777,4.937499999999999,0.0,3.0,0.009173225,0.0
33,"['What else is in the lesson?', 'See Figure 5.']",9.823973178863525,10.0,3.700439718141093,0.0,5.0,0.01438814,1.0
34,"['What are positive angle and negative angle?', 'If the angle is measured in a counterclockwise direction from the initial side to the terminal side, the angle is said to be a positive angle.']",9.089336395263672,5.473,5.090032776601481,0.0,6.0,0.011749268,0.5
35,"['Is counterclockwise direction the same as positive angle?', 'If the angle is measured in a clockwise direction, the angle is said to be a negative angle.']",9.49073851108551,4.982,4.82516405232236,0.0,7.0,0.01633588,1.0
36,"['How does it start?', 'Drawing an angle in standard position always starts the same way—draw the initial side along the positive x-axis.']",9.087397456169128,6.877,4.7004397181410935,0.0,3.0,0.0143253105,0.0
37,"['What other steps do you have to take to find the terminal side of the angle?', 'To place the terminal side of the angle, we must calculate the fraction of a full rotation the angle represents.']",8.990131616592407,7.013,5.046457187492146,0.0,15.0,0.019226074,0.0
38,"['How do we calculate the angle of a circle?', 'We do that by dividing the angle measure in degrees by $$\\(360{^\\circ}.\\)$$']",9.029055833816528,6.928,5.0149973026592525,0.0,8.0,0.012880214,0.5
39,"['What are the examples of angles?', 'For example, to draw a $$\\(90{^\\circ}\\)$$ angle, we calculate that $$\\(\\frac{90{^\\circ}\\operatorname{}}{360{^\\circ}} = \\frac{1}{4}.\\)$$']",8.18081021308899,3.696,5.507659765557392,0.0,5.0,0.012314741,0.0
40,"['What does that mean?', 'So, the terminal side will be one-fourth of the way around the circle, moving counterclockwise from the positive x-axis.']",8.751646280288696,6.8260000000000005,4.857980995127571,0.0,3.0,0.01225191,0.0
41,"['What does that mean?', 'To draw a $$\\(360{^\\circ}\\operatorname{}\\)$$ angle, we calculate that $$\\(\\frac{360{^\\circ}}{360{^\\circ}} = 1.\\)$$']",8.119035959243774,3.899,5.079965439170124,0.0,3.0,0.01225191,0.0
42,"['What does that mean?', 'So the terminal side will be 1 complete rotation around the circle, moving counterclockwise from the positive x-axis.']",8.87174904346466,6.031000000000001,4.754887502163469,0.0,3.0,0.01225191,0.0
43,"['What else is the initial side and the terminal side?', 'In this case, the initial side and the terminal side overlap.']",9.416531324386597,8.620000000000001,4.238901256602632,0.0,9.0,0.013131535,1.0
44,"['Can you show me an example of this?', 'See Figure 6.']",9.656927585601807,9.126999999999999,3.906890595608519,0.0,7.0,0.013697007,1.0
